#	Id	EntityId	IconId	Name	EquipProfession	EquipLevel	EquipPart	Attack	Defense	HitRate	Hedge	Strike	Tenacity	StrengthRate	Price	SellPrice
10001	21001	0	新手大剑	1	1	1	10	0	2	0	1	0	0.1	100	10
10002	21002	1	勇士大剑	1	2	1	50	0	4	0	2	0	0.2	200	20
10003	21003	2	巨神大剑	1	3	1	100	0	8	0	4	0	0.3	300	30
10004	21004	3	幽魂大剑	1	4	1	200	0	16	0	8	0	0.4	400	40
10005	21005	4	紫阳大剑	1	5	1	400	0	32	0	16	0	0.5	500	50
10006	21006	5	毁灭大剑	1	6	1	800	0	64	0	32	0	0.6	600	60
20001	22001	0	新手法杖	2	1	1	10	0	2	0	1	0	0.1	100	10
20002	22002	1	勇士法杖	2	2	1	50	0	4	0	2	0	0.2	200	20
20003	22003	2	巨神法杖	2	3	1	100	0	8	0	4	0	0.3	300	30
20004	22004	3	幽魂法杖	2	4	1	200	0	16	0	8	0	0.4	400	40
20005	22005	4	紫阳法杖	2	5	1	400	0	32	0	16	0	0.5	500	50
20006	22006	5	毁灭法杖	2	6	1	800	0	64	0	32	0	0.6	600	60
30001	23001	0	新手长弓	3	1	1	10	0	2	0	1	0	0.1	100	10
30002	23002	1	勇士长弓	3	2	1	50	0	4	0	2	0	0.2	200	20
30003	23003	2	巨神长弓	3	3	1	100	0	8	0	4	0	0.3	300	30
30004	23004	3	幽魂长弓	3	4	1	200	0	16	0	8	0	0.4	400	40
30005	23005	4	紫阳长弓	3	5	1	400	0	32	0	16	0	0.5	500	50
30006	23006	5	毁灭长弓	3	6	1	800	0	64	0	32	0	0.6	600	60
